"Номер";"Наименование водного объекта";"Азот нитритный";"Азот аммонийный";"Азот нитратный";"Фенол";"Нефтепродукты";"Органические вещества (по ХПК)";"Железо";"Медь";"Цинк";"Марганец";"БПК5";"Период наблюдений";"Дата модификации"
"525";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.05.2020";"23.07.2020 12:17:38"
"526";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"20.05.2020";"23.07.2020 12:19:17"
"527";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.05.2020";"23.07.2020 12:20:54"
"528";"р. Тура, в створе с. Салаирка, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"65,51";"В пределах нормы";"20.03.2019";"16.12.2020 14:14:15"
"529";"р. Тура, в створе с. Салаирка, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"32,33";"Выше нормы";"19.04.2019";"16.12.2020 14:16:01"
"530";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"Выше ПДК";"43,47";"В пределах нормы";"20.03.2019";"16.12.2020 14:14:30"
"531";"р. Тура, выше г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"33,07";"Выше нормы";"19.04.2019";"16.12.2020 14:16:21"
"532";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"44,27";"В пределах нормы";"20.03.2019";"16.12.2020 14:14:45"
"533";"р. Тура, ниже г. Тюмени, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"10,8";"Выше ПДК";"В пределах нормы";"41,91";"Выше нормы";"19.04.2019";"16.12.2020 14:16:37"
"534";"р. Тура, в створе с. Покровское, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"19.04.2019";"18.06.2020 17:15:45"
"535";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.03.2019";"18.06.2020 17:12:15"
"536";"р. Ишим, в створе с. Ильинское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"19.04.2019";"18.06.2020 17:16:12"
"537";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.03.2019";"18.06.2020 17:12:33"
"538";"р. Ишим, выше г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"19.04.2019";"18.06.2020 17:17:32"
"539";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"20.03.2019";"18.06.2020 17:12:57"
"540";"р. Ишим, ниже г. Ишима, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"Выше ПДК";"В пределах нормы";"19.04.2019";"18.06.2020 17:17:56"
"541";"р. Ишим, в створе с. Абатское, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"19.04.2019";"18.06.2020 17:16:59"
"542";"р. Тобол, в створе с. Коркино, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"33,87";"В пределах нормы";"20.03.2019";"16.12.2020 14:15:07"
"543";"р. Тобол, в створе с. Коркино, превышение ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"Выше ПДК";"В пределах нормы";"В пределах нормы";"33,66";"Выше нормы";"19.04.2019";"16.12.2020 14:16:59"
"544";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"36,74";"В пределах нормы";"20.03.2019";"16.12.2020 14:15:28"
"545";"р. Тобол, выше г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"19.04.2019";"18.06.2020 17:18:55"
"546";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"Выше ПДК";"Выше ПДК";"Выше нормы";"В пределах нормы";"Выше ПДК";"В пределах нормы";"39,05";"В пределах нормы";"20.03.2019";"16.12.2020 14:15:45"
"547";"р. Тобол, ниже г. Ялуторовска, превышение ПДК";"Выше ПДК";"Выше ПДК";"в пределах нормы";"в пределах нормы";"Выше ПДК";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"19.04.2019";"18.06.2020 17:19:10"
"548";"р. Тобол, в створе с. Иевлево, превышение ПДК";"в пределах нормы";"Выше ПДК";"в пределах нормы";"в пределах нормы";"в пределах нормы";"Выше нормы";"Выше ПДК";"Выше ПДК";"В пределах нормы";"Выше ПДК";"Выше нормы";"19.04.2019";"18.06.2020 17:19:36"
